Nummer,Nummer_im_GIT,Domäne,site_name,ort,community,site_code,domain_seed,prefix4,old_prefix6,prefix6,mesh_id,hide_domain
1,01,domaene01,Freifunk Münsterland Domäne 01,Münster-Mitte-Süd,Münster,ffmsd01,ff48143000000000000000000000000000000000000000000000000000000001,10.1.0.,2a03:2260:115:100::,2a14:440:1:1::,02:d1:11:37:fc:39,false
2,02,domaene02,Freifunk Münsterland Domäne 02,Münster-Ost,Münster,ffmsd02,ff48143000000000000000000000000000000000000000000000000000000002,10.2.0.,2a03:2260:115:200::,2a14:440:1:2::,02:d1:11:37:fc:40,false
3,03,domaene03,Freifunk Münsterland Domäne 03,Münster-Nord,Münster,ffmsd03,ff48143000000000000000000000000000000000000000000000000000000003,10.3.0.,2a03:2260:115:300::,2a14:440:1:3::,02:d1:11:37:fc:41,false
4,04,domaene04,Freifunk Münsterland Domäne 04,Münster-West,Münster,ffmsd04,ff48143000000000000000000000000000000000000000000000000000000004,10.4.0.,2a03:2260:115:400::,2a14:440:1:4::,02:d1:11:37:fc:42,false
5,05,domaene05,Freifunk Münsterland Domäne 05,Münster-Süd,Münster,ffmsd05,ff48143000000000000000000000000000000000000000000000000000000005,10.5.0.,2a03:2260:115:500::,2a14:440:1:5::,02:d1:11:37:fc:43,false
6,06,domaene06,Freifunk Münsterland Domäne 06,Babel-Test,Babel-Test,ffmsd06,ff48143000000000000000000000000000000000000000000000000000000006,10.6.0.,2a03:2260:115:600::,2a14:440:1:6::,02:d1:11:37:fc:44,true
7,07,domaene07,Freifunk Münsterland Domäne 07,Telgte,Kreis Warendorf,ffmsd07,ff48143000000000000000000000000000000000000000000000000000000007,10.7.0.,2a03:2260:115:700::,2a14:440:1:7::,02:d1:11:37:fc:45,false
8,08,domaene08,Freifunk Münsterland Domäne 08,Gescher,Westmünsterland,ffmsd08,ff48143000000000000000000000000000000000000000000000000000000008,10.8.0.,2a03:2260:115:800::,2a14:440:1:8::,02:d1:11:37:fc:46,false
9,09,domaene09,Freifunk Münsterland Domäne 09,Stadtlohn,Westmünsterland,ffmsd09,ff48143000000000000000000000000000000000000000000000000000000009,10.9.0.,2a03:2260:115:900::,2a14:440:1:9::,02:d1:11:37:fc:47,false
10,10,domaene10,Freifunk Münsterland Domäne 10,Borken-Nord,Borken,ffmsd10,ff48143000000000000000000000000000000000000000000000000000000010,10.10.0.,2a03:2260:115:1000::,2a14:440:1:a::,02:d1:11:37:fc:48,false
11,11,domaene11,Freifunk Münsterland Domäne 11,Bocholt,Westmünsterland,ffmsd11,ff48143000000000000000000000000000000000000000000000000000000011,10.11.0.,2a03:2260:115:1100::,2a14:440:1:b::,02:d1:11:37:fc:49,false
12,12,domaene12,Freifunk Münsterland Domäne 12,Dülmen,Kreis Coesfeld,ffmsd12,ff48143000000000000000000000000000000000000000000000000000000012,10.12.0.,2a03:2260:115:1200::,2a14:440:1:c::,02:d1:11:37:fc:50,false
13,13,domaene13,Freifunk Münsterland Domäne 13,Rorup,Kreis Coesfeld,ffmsd13,ff48143000000000000000000000000000000000000000000000000000000013,10.13.0.,2a03:2260:115:1300::,2a14:440:1:d::,02:d1:11:37:fc:51,false
14,14,domaene14,Freifunk Münsterland Domäne 14,Dingden,Dingden,ffmsd14,ff48143000000000000000000000000000000000000000000000000000000014,10.14.0.,2a03:2260:115:1400::,2a14:440:1:e::,02:d1:11:37:fc:52,false
15,15,domaene15,Freifunk Münsterland Domäne 15,Heek,Westmünsterland,ffmsd15,ff48143000000000000000000000000000000000000000000000000000000015,10.15.0.,2a03:2260:115:1500::,2a14:440:1:f::,02:d1:11:37:fc:53,false
16,16,domaene16,Freifunk Münsterland Domäne 16,Münster-Promenade,Münster,ffmsd16,ff48143000000000000000000000000000000000000000000000000000000016,10.16.0.,2a03:2260:115:1600::,2a14:440:1:10::,02:d1:11:37:fc:54,false
17,17,domaene17,Freifunk Münsterland Domäne 17,Emsdetten,Kreis Steinfurt,ffmsd17,ff48143000000000000000000000000000000000000000000000000000000017,10.17.0.,2a03:2260:115:1700::,2a14:440:1:11::,02:d1:11:37:fc:55,false
18,18,domaene18,Freifunk Münsterland Domäne 18,Greven,Kreis Steinfurt,ffmsd18,ff48143000000000000000000000000000000000000000000000000000000018,10.18.0.,2a03:2260:115:1800::,2a14:440:1:12::,02:d1:11:37:fc:56,false
19,19,domaene19,Freifunk Münsterland Domäne 19,Neuenkirchen,Kreis Steinfurt,ffmsd19,ff48143000000000000000000000000000000000000000000000000000000019,10.19.0.,2a03:2260:115:1900::,2a14:440:1:13::,02:d1:11:37:fc:57,false
20,20,domaene20,Freifunk Münsterland Domäne 20,Ochtrup,Kreis Steinfurt,ffmsd20,ff48143000000000000000000000000000000000000000000000000000000020,10.20.0.,2a03:2260:115:2000::,2a14:440:1:14::,02:d1:11:37:fc:58,false
21,21,domaene21,Freifunk Münsterland Domäne 21,Rheine,Kreis Steinfurt,ffmsd21,ff48143000000000000000000000000000000000000000000000000000000021,10.21.0.,2a03:2260:115:2100::,2a14:440:1:15::,02:d1:11:37:fc:59,false
22,22,domaene22,Freifunk Münsterland Domäne 22,Steinfurt,Kreis Steinfurt,ffmsd22,ff48143000000000000000000000000000000000000000000000000000000022,10.22.0.,2a03:2260:115:2200::,2a14:440:1:16::,02:d1:11:37:fc:60,false
